,geometry
0,"POLYGON ((329556.83256960544 5285567.07623245, 329556.83256960544 5286767.07623245, 328356.83256960544 5286767.07623245, 328356.83256960544 5285567.07623245, 329556.83256960544 5285567.07623245))"
1,"POLYGON ((329556.83256960544 5286767.07623245, 329556.83256960544 5287967.07623245, 328356.83256960544 5287967.07623245, 328356.83256960544 5286767.07623245, 329556.83256960544 5286767.07623245))"
2,"POLYGON ((329556.83256960544 5287967.07623245, 329556.83256960544 5289167.07623245, 328356.83256960544 5289167.07623245, 328356.83256960544 5287967.07623245, 329556.83256960544 5287967.07623245))"
3,"POLYGON ((329556.83256960544 5289167.07623245, 329556.83256960544 5290367.07623245, 328356.83256960544 5290367.07623245, 328356.83256960544 5289167.07623245, 329556.83256960544 5289167.07623245))"
4,"POLYGON ((330756.83256960544 5283167.07623245, 330756.83256960544 5284367.07623245, 329556.83256960544 5284367.07623245, 329556.83256960544 5283167.07623245, 330756.83256960544 5283167.07623245))"
5,"POLYGON ((330756.83256960544 5284367.07623245, 330756.83256960544 5285567.07623245, 329556.83256960544 5285567.07623245, 329556.83256960544 5284367.07623245, 330756.83256960544 5284367.07623245))"
6,"POLYGON ((330756.83256960544 5285567.07623245, 330756.83256960544 5286767.07623245, 329556.83256960544 5286767.07623245, 329556.83256960544 5285567.07623245, 330756.83256960544 5285567.07623245))"
7,"POLYGON ((330756.83256960544 5286767.07623245, 330756.83256960544 5287967.07623245, 329556.83256960544 5287967.07623245, 329556.83256960544 5286767.07623245, 330756.83256960544 5286767.07623245))"
8,"POLYGON ((330756.83256960544 5287967.07623245, 330756.83256960544 5289167.07623245, 329556.83256960544 5289167.07623245, 329556.83256960544 5287967.07623245, 330756.83256960544 5287967.07623245))"
9,"POLYGON ((330756.83256960544 5289167.07623245, 330756.83256960544 5290367.07623245, 329556.83256960544 5290367.07623245, 329556.83256960544 5289167.07623245, 330756.83256960544 5289167.07623245))"
10,"POLYGON ((331956.83256960544 5280767.07623245, 331956.83256960544 5281967.07623245, 330756.83256960544 5281967.07623245, 330756.83256960544 5280767.07623245, 331956.83256960544 5280767.07623245))"
11,"POLYGON ((331956.83256960544 5281967.07623245, 331956.83256960544 5283167.07623245, 330756.83256960544 5283167.07623245, 330756.83256960544 5281967.07623245, 331956.83256960544 5281967.07623245))"
12,"POLYGON ((331956.83256960544 5283167.07623245, 331956.83256960544 5284367.07623245, 330756.83256960544 5284367.07623245, 330756.83256960544 5283167.07623245, 331956.83256960544 5283167.07623245))"
13,"POLYGON ((331956.83256960544 5284367.07623245, 331956.83256960544 5285567.07623245, 330756.83256960544 5285567.07623245, 330756.83256960544 5284367.07623245, 331956.83256960544 5284367.07623245))"
14,"POLYGON ((331956.83256960544 5285567.07623245, 331956.83256960544 5286767.07623245, 330756.83256960544 5286767.07623245, 330756.83256960544 5285567.07623245, 331956.83256960544 5285567.07623245))"
15,"POLYGON ((331956.83256960544 5286767.07623245, 331956.83256960544 5287967.07623245, 330756.83256960544 5287967.07623245, 330756.83256960544 5286767.07623245, 331956.83256960544 5286767.07623245))"
16,"POLYGON ((331956.83256960544 5287967.07623245, 331956.83256960544 5289167.07623245, 330756.83256960544 5289167.07623245, 330756.83256960544 5287967.07623245, 331956.83256960544 5287967.07623245))"
17,"POLYGON ((331956.83256960544 5289167.07623245, 331956.83256960544 5290367.07623245, 330756.83256960544 5290367.07623245, 330756.83256960544 5289167.07623245, 331956.83256960544 5289167.07623245))"
18,"POLYGON ((331956.83256960544 5290367.07623245, 331956.83256960544 5291567.07623245, 330756.83256960544 5291567.07623245, 330756.83256960544 5290367.07623245, 331956.83256960544 5290367.07623245))"
19,"POLYGON ((333156.83256960544 5280767.07623245, 333156.83256960544 5281967.07623245, 331956.83256960544 5281967.07623245, 331956.83256960544 5280767.07623245, 333156.83256960544 5280767.07623245))"
20,"POLYGON ((333156.83256960544 5281967.07623245, 333156.83256960544 5283167.07623245, 331956.83256960544 5283167.07623245, 331956.83256960544 5281967.07623245, 333156.83256960544 5281967.07623245))"
21,"POLYGON ((333156.83256960544 5283167.07623245, 333156.83256960544 5284367.07623245, 331956.83256960544 5284367.07623245, 331956.83256960544 5283167.07623245, 333156.83256960544 5283167.07623245))"
22,"POLYGON ((333156.83256960544 5284367.07623245, 333156.83256960544 5285567.07623245, 331956.83256960544 5285567.07623245, 331956.83256960544 5284367.07623245, 333156.83256960544 5284367.07623245))"
23,"POLYGON ((333156.83256960544 5286767.07623245, 333156.83256960544 5287967.07623245, 331956.83256960544 5287967.07623245, 331956.83256960544 5286767.07623245, 333156.83256960544 5286767.07623245))"
24,"POLYGON ((333156.83256960544 5287967.07623245, 333156.83256960544 5289167.07623245, 331956.83256960544 5289167.07623245, 331956.83256960544 5287967.07623245, 333156.83256960544 5287967.07623245))"
25,"POLYGON ((333156.83256960544 5289167.07623245, 333156.83256960544 5290367.07623245, 331956.83256960544 5290367.07623245, 331956.83256960544 5289167.07623245, 333156.83256960544 5289167.07623245))"
26,"POLYGON ((333156.83256960544 5290367.07623245, 333156.83256960544 5291567.07623245, 331956.83256960544 5291567.07623245, 331956.83256960544 5290367.07623245, 333156.83256960544 5290367.07623245))"
27,"POLYGON ((333156.83256960544 5291567.07623245, 333156.83256960544 5292767.07623245, 331956.83256960544 5292767.07623245, 331956.83256960544 5291567.07623245, 333156.83256960544 5291567.07623245))"
28,"POLYGON ((334356.83256960544 5280767.07623245, 334356.83256960544 5281967.07623245, 333156.83256960544 5281967.07623245, 333156.83256960544 5280767.07623245, 334356.83256960544 5280767.07623245))"
29,"POLYGON ((334356.83256960544 5281967.07623245, 334356.83256960544 5283167.07623245, 333156.83256960544 5283167.07623245, 333156.83256960544 5281967.07623245, 334356.83256960544 5281967.07623245))"
30,"POLYGON ((334356.83256960544 5283167.07623245, 334356.83256960544 5284367.07623245, 333156.83256960544 5284367.07623245, 333156.83256960544 5283167.07623245, 334356.83256960544 5283167.07623245))"
31,"POLYGON ((334356.83256960544 5287967.07623245, 334356.83256960544 5289167.07623245, 333156.83256960544 5289167.07623245, 333156.83256960544 5287967.07623245, 334356.83256960544 5287967.07623245))"
32,"POLYGON ((334356.83256960544 5289167.07623245, 334356.83256960544 5290367.07623245, 333156.83256960544 5290367.07623245, 333156.83256960544 5289167.07623245, 334356.83256960544 5289167.07623245))"
33,"POLYGON ((334356.83256960544 5290367.07623245, 334356.83256960544 5291567.07623245, 333156.83256960544 5291567.07623245, 333156.83256960544 5290367.07623245, 334356.83256960544 5290367.07623245))"
34,"POLYGON ((334356.83256960544 5291567.07623245, 334356.83256960544 5292767.07623245, 333156.83256960544 5292767.07623245, 333156.83256960544 5291567.07623245, 334356.83256960544 5291567.07623245))"
35,"POLYGON ((334356.83256960544 5292767.07623245, 334356.83256960544 5293967.07623245, 333156.83256960544 5293967.07623245, 333156.83256960544 5292767.07623245, 334356.83256960544 5292767.07623245))"
36,"POLYGON ((334356.83256960544 5293967.07623245, 334356.83256960544 5295167.07623245, 333156.83256960544 5295167.07623245, 333156.83256960544 5293967.07623245, 334356.83256960544 5293967.07623245))"
37,"POLYGON ((334356.83256960544 5295167.07623245, 334356.83256960544 5296367.07623245, 333156.83256960544 5296367.07623245, 333156.83256960544 5295167.07623245, 334356.83256960544 5295167.07623245))"
38,"POLYGON ((334356.83256960544 5296367.07623245, 334356.83256960544 5297567.07623245, 333156.83256960544 5297567.07623245, 333156.83256960544 5296367.07623245, 334356.83256960544 5296367.07623245))"
39,"POLYGON ((335556.83256960544 5281967.07623245, 335556.83256960544 5283167.07623245, 334356.83256960544 5283167.07623245, 334356.83256960544 5281967.07623245, 335556.83256960544 5281967.07623245))"
